operation_type,cdc_timestamp,batch_date,property_id,listing_id,agent_id,location_id,property_type,bedrooms,bathrooms,square_feet,lot_size_sqft,year_built,listing_price,list_date,status,sold_price,sold_date,days_on_market,hoa_fee,garage_spaces,has_pool,has_basement,created_at,updated_at
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565185,LST0565185,AG01170,LOC0086,Single Family,5,4.5,1309,8376,2010,190500.0,2026-08-27,Active,,,0,0.0,0,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565186,LST0565186,AG00623,LOC0029,Multi-Family,3,3.0,2993,7598,1921,831300.0,2026-08-27,Active,,,0,0.0,3,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565187,LST0565187,AG01408,LOC0095,Single Family,6,1.0,300,8846,1984,64600.0,2026-08-27,Active,,,0,0.0,2,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565188,LST0565188,AG01290,LOC0058,Single Family,3,2.0,2539,3554,1963,894200.0,2026-08-27,Active,,,0,0.0,2,No,Yes,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565189,LST0565189,AG00499,LOC0020,Apartment,6,2.0,253,0,1988,37100.0,2026-08-27,Active,,,0,108.69,3,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565190,LST0565190,AG02455,LOC0089,Land,0,0.0,3394,4653,1948,1149300.0,2026-08-27,Active,,,0,0.0,0,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565191,LST0565191,AG00759,LOC0052,Condo,2,3.0,2785,2723,1954,351600.0,2026-08-27,Active,,,0,201.94,2,Yes,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565192,LST0565192,AG00837,LOC0177,Townhouse,3,4.5,916,2414,1935,330700.0,2026-08-27,Active,,,0,591.81,1,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565193,LST0565193,AG01427,LOC0088,Single Family,1,3.0,573,11330,2017,136100.0,2026-08-27,Active,,,0,0.0,2,No,Yes,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565194,LST0565194,AG02213,LOC0178,Condo,1,3.5,1560,9317,1925,224400.0,2026-08-27,Active,,,0,427.93,1,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565195,LST0565195,AG00718,LOC0004,Single Family,6,4.0,2414,2263,2011,365600.0,2026-08-27,Active,,,0,0.0,3,No,Yes,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565196,LST0565196,AG00997,LOC0013,Condo,6,1.0,2742,9629,1991,351700.0,2026-08-27,Active,,,0,243.87,0,Yes,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565197,LST0565197,AG01319,LOC0170,Single Family,2,2.5,706,5298,2022,421500.0,2026-08-27,Active,,,0,0.0,2,No,Yes,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565198,LST0565198,AG01307,LOC0027,Single Family,6,1.5,1075,6767,2007,257000.0,2026-08-27,Active,,,0,0.0,2,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565199,LST0565199,AG02831,LOC0131,Condo,4,2.0,1789,3616,2002,107300.0,2026-08-27,Active,,,0,83.04,1,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565200,LST0565200,AG01415,LOC0046,Condo,1,1.5,1286,3834,1995,312900.0,2026-08-27,Active,,,0,786.63,1,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565201,LST0565201,AG01570,LOC0024,Townhouse,6,1.5,1960,2054,1952,832700.0,2026-08-27,Active,,,0,141.72,0,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565202,LST0565202,AG02219,LOC0195,Condo,6,3.5,2108,4966,1985,743400.0,2026-08-27,Active,,,0,336.53,0,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565203,LST0565203,AG02501,LOC0186,Single Family,4,2.5,2351,3784,1991,455300.0,2026-08-27,Active,,,0,0.0,2,Yes,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565204,LST0565204,AG01288,LOC0166,Condo,4,2.5,1209,3619,1990,392400.0,2026-08-27,Active,,,0,793.36,3,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565205,LST0565205,AG02441,LOC0135,Apartment,2,4.0,640,0,1933,270800.0,2026-08-27,Active,,,0,740.28,0,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565206,LST0565206,AG00079,LOC0029,Townhouse,6,4.0,2762,12459,1936,1171800.0,2026-08-27,Active,,,0,712.75,3,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565207,LST0565207,AG01308,LOC0192,Multi-Family,6,1.5,5353,2583,1982,2465400.0,2026-08-27,Active,,,0,0.0,1,No,Yes,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565208,LST0565208,AG02304,LOC0219,Condo,3,2.5,1715,4780,1925,1146700.0,2026-08-27,Active,,,0,783.94,2,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565209,LST0565209,AG01488,LOC0047,Condo,4,1.0,1120,1054,2017,571100.0,2026-08-27,Active,,,0,512.79,2,No,No,2026-08-27,2026-08-27
INSERT,2026-08-27T00:00:00,2026-08-27,PT0565210,LST0565210,AG02767,LOC0090,Single Family,1,4.5,2840,2514,2014,1051600.0,2026-08-27,Active,,,0,0.0,1,No,Yes,2026-08-27,2026-08-27
