operation_type,cdc_timestamp,batch_date,property_id,listing_id,agent_id,location_id,property_type,bedrooms,bathrooms,square_feet,lot_size_sqft,year_built,listing_price,list_date,status,sold_price,sold_date,days_on_market,hoa_fee,garage_spaces,has_pool,has_basement,created_at,updated_at
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553748,LST0553748,AG00042,LOC0201,Condo,6,2.5,1457,9041,1950,311000.0,2026-08-17,Active,,,0,728.52,2,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553749,LST0553749,AG00873,LOC0149,Land,0,0.0,5032,1949,2003,854600.0,2026-08-17,Active,,,0,0.0,0,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553750,LST0553750,AG00451,LOC0014,Townhouse,2,3.0,2637,9260,1981,240300.0,2026-08-17,Active,,,0,743.19,2,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553751,LST0553751,AG00825,LOC0119,Single Family,4,1.0,2135,1815,1986,450700.0,2026-08-17,Active,,,0,0.0,3,No,Yes,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553752,LST0553752,AG01227,LOC0054,Single Family,4,2.5,2148,3720,1900,776200.0,2026-08-17,Active,,,0,0.0,2,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553753,LST0553753,AG00962,LOC0229,Single Family,4,3.0,1586,8139,2010,250800.0,2026-08-17,Active,,,0,0.0,2,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553754,LST0553754,AG00792,LOC0239,Apartment,2,3.0,180,0,2023,44400.0,2026-08-17,Active,,,0,693.96,1,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553755,LST0553755,AG02433,LOC0001,Condo,5,3.5,2808,1440,1919,646100.0,2026-08-17,Active,,,0,602.44,0,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553756,LST0553756,AG00101,LOC0101,Condo,4,1.5,1930,5805,1968,695100.0,2026-08-17,Active,,,0,200.79,1,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553757,LST0553757,AG01352,LOC0211,Single Family,2,4.5,3018,1100,2025,1485600.0,2026-08-17,Active,,,0,0.0,0,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553758,LST0553758,AG01112,LOC0158,Condo,3,4.0,2465,7002,1971,564400.0,2026-08-17,Active,,,0,547.46,0,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553759,LST0553759,AG00967,LOC0169,Single Family,3,4.5,2854,1537,1964,994900.0,2026-08-17,Active,,,0,0.0,1,Yes,Yes,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553760,LST0553760,AG00327,LOC0085,Single Family,5,4.0,1864,2012,1917,333100.0,2026-08-17,Active,,,0,0.0,2,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553761,LST0553761,AG00376,LOC0229,Townhouse,5,3.0,2095,9438,2010,304700.0,2026-08-17,Active,,,0,745.68,1,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553762,LST0553762,AG01825,LOC0026,Condo,6,3.5,2204,7318,1976,879500.0,2026-08-17,Active,,,0,198.16,3,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553763,LST0553763,AG00203,LOC0001,Single Family,1,1.5,2560,1069,1984,513600.0,2026-08-17,Active,,,0,0.0,2,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553764,LST0553764,AG00716,LOC0001,Condo,6,3.0,2478,1153,1912,591800.0,2026-08-17,Active,,,0,61.92,0,Yes,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553765,LST0553765,AG00550,LOC0145,Single Family,3,2.5,1206,2312,1930,253600.0,2026-08-17,Active,,,0,0.0,2,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553766,LST0553766,AG02646,LOC0200,Condo,1,3.0,1234,7842,2010,332600.0,2026-08-17,Active,,,0,772.1,3,Yes,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553767,LST0553767,AG01627,LOC0244,Single Family,4,4.0,1845,12929,1952,266900.0,2026-08-17,Active,,,0,0.0,3,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553768,LST0553768,AG02261,LOC0098,Townhouse,1,1.0,1998,5899,1937,636400.0,2026-08-17,Active,,,0,740.07,1,No,No,2026-08-17,2026-08-17
INSERT,2026-08-17T00:00:00,2026-08-17,PT0553769,LST0553769,AG02305,LOC0102,Single Family,6,4.0,1883,12269,1959,290100.0,2026-08-17,Active,,,0,0.0,3,No,Yes,2026-08-17,2026-08-17
