operation_type,cdc_timestamp,batch_date,property_id,listing_id,agent_id,location_id,property_type,bedrooms,bathrooms,square_feet,lot_size_sqft,year_built,listing_price,list_date,status,sold_price,sold_date,days_on_market,hoa_fee,garage_spaces,has_pool,has_basement,created_at,updated_at
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557979,LST0557979,AG02954,LOC0107,Single Family,1,1.0,2611,2026,1947,524700.0,2026-08-21,Active,,,0,0.0,2,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557980,LST0557980,AG00040,LOC0187,Single Family,6,4.5,737,1138,2023,201400.0,2026-08-21,Active,,,0,0.0,2,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557981,LST0557981,AG00675,LOC0116,Condo,1,1.5,1583,6061,1984,819700.0,2026-08-21,Active,,,0,288.06,2,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557982,LST0557982,AG01636,LOC0090,Townhouse,5,1.0,2415,1596,1900,206600.0,2026-08-21,Active,,,0,515.84,0,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557983,LST0557983,AG02106,LOC0047,Land,0,0.0,2591,2505,1916,361000.0,2026-08-21,Active,,,0,0.0,0,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557984,LST0557984,AG02433,LOC0188,Single Family,6,4.0,1891,2989,1984,572200.0,2026-08-21,Active,,,0,0.0,0,Yes,Yes,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557985,LST0557985,AG02888,LOC0069,Single Family,6,4.0,2008,1606,1942,478000.0,2026-08-21,Active,,,0,0.0,0,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557986,LST0557986,AG00269,LOC0154,Condo,6,2.5,2001,1055,1949,341900.0,2026-08-21,Active,,,0,226.52,3,Yes,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557987,LST0557987,AG01710,LOC0081,Condo,1,3.5,2276,1872,2025,781400.0,2026-08-21,Active,,,0,560.86,3,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557988,LST0557988,AG02199,LOC0026,Multi-Family,1,2.5,4918,7587,1985,1618900.0,2026-08-21,Active,,,0,0.0,3,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557989,LST0557989,AG02785,LOC0229,Single Family,3,3.0,1202,3402,1970,117000.0,2026-08-21,Active,,,0,0.0,0,No,Yes,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557990,LST0557990,AG01136,LOC0137,Single Family,5,4.0,2268,1087,1958,499000.0,2026-08-21,Active,,,0,0.0,1,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557991,LST0557991,AG00306,LOC0162,Single Family,1,1.5,978,3703,1909,225800.0,2026-08-21,Active,,,0,0.0,2,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557992,LST0557992,AG01249,LOC0234,Single Family,4,3.0,1964,10335,1990,541800.0,2026-08-21,Active,,,0,0.0,2,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557993,LST0557993,AG01989,LOC0123,Single Family,2,1.0,1575,2893,1919,500500.0,2026-08-21,Active,,,0,0.0,1,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557994,LST0557994,AG01412,LOC0039,Single Family,5,1.0,1926,17264,1951,715800.0,2026-08-21,Active,,,0,0.0,1,Yes,Yes,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557995,LST0557995,AG01271,LOC0080,Single Family,4,2.0,1451,7024,1917,639900.0,2026-08-21,Active,,,0,0.0,3,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557996,LST0557996,AG01521,LOC0165,Condo,3,4.0,1764,2120,1937,791700.0,2026-08-21,Active,,,0,586.78,1,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557997,LST0557997,AG02638,LOC0030,Townhouse,3,4.5,1580,3833,1917,721300.0,2026-08-21,Active,,,0,566.04,2,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557998,LST0557998,AG01918,LOC0098,Single Family,2,2.0,1710,3842,1961,794100.0,2026-08-21,Active,,,0,0.0,1,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0557999,LST0557999,AG00607,LOC0085,Condo,5,4.5,2682,4718,1906,459800.0,2026-08-21,Active,,,0,557.92,0,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0558000,LST0558000,AG01353,LOC0178,Condo,4,2.5,2930,10082,2009,651700.0,2026-08-21,Active,,,0,382.84,2,No,No,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0558001,LST0558001,AG01026,LOC0121,Single Family,2,4.0,1975,2830,1960,265200.0,2026-08-21,Active,,,0,0.0,1,No,Yes,2026-08-21,2026-08-21
INSERT,2026-08-21T00:00:00,2026-08-21,PT0558002,LST0558002,AG00246,LOC0152,Townhouse,2,1.5,1417,1186,2003,385300.0,2026-08-21,Active,,,0,138.66,2,No,No,2026-08-21,2026-08-21
