operation_type,cdc_timestamp,batch_date,property_id,listing_id,agent_id,location_id,property_type,bedrooms,bathrooms,square_feet,lot_size_sqft,year_built,listing_price,list_date,status,sold_price,sold_date,days_on_market,hoa_fee,garage_spaces,has_pool,has_basement,created_at,updated_at
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535967,LST0535967,AG01565,LOC0042,Single Family,4,1.5,2373,6684,1923,462300.0,2026-08-01,Active,,,0,0.0,3,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535968,LST0535968,AG00881,LOC0237,Single Family,3,1.0,1918,4541,2008,366200.0,2026-08-01,Active,,,0,0.0,2,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535969,LST0535969,AG00432,LOC0099,Single Family,1,3.5,775,4065,1974,356000.0,2026-08-01,Active,,,0,0.0,1,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535970,LST0535970,AG02064,LOC0153,Single Family,1,3.5,574,9308,1981,214300.0,2026-08-01,Active,,,0,0.0,2,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535971,LST0535971,AG02357,LOC0067,Multi-Family,5,2.0,891,4203,1935,246300.0,2026-08-01,Active,,,0,0.0,1,No,Yes,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535972,LST0535972,AG01051,LOC0012,Land,0,0.0,3510,10348,1942,1552000.0,2026-08-01,Active,,,0,0.0,0,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535973,LST0535973,AG00029,LOC0115,Condo,6,2.0,2110,1895,1956,580000.0,2026-08-01,Active,,,0,733.34,3,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535974,LST0535974,AG00072,LOC0089,Multi-Family,6,4.5,2254,3760,1974,595100.0,2026-08-01,Active,,,0,0.0,3,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535975,LST0535975,AG02308,LOC0048,Single Family,2,1.0,1676,13181,1993,903800.0,2026-08-01,Active,,,0,0.0,1,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535976,LST0535976,AG00572,LOC0140,Apartment,4,2.5,717,0,1964,438800.0,2026-08-01,Active,,,0,616.83,0,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535977,LST0535977,AG01948,LOC0214,Condo,2,4.5,1441,4155,1973,470400.0,2026-08-01,Active,,,0,197.45,0,Yes,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535978,LST0535978,AG01104,LOC0041,Single Family,5,4.5,1981,5488,2001,650300.0,2026-08-01,Active,,,0,0.0,3,Yes,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535979,LST0535979,AG00974,LOC0146,Single Family,1,1.5,1742,4705,1960,280000.0,2026-08-01,Active,,,0,0.0,3,No,Yes,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535980,LST0535980,AG01529,LOC0101,Single Family,5,1.0,3105,6812,1926,777200.0,2026-08-01,Active,,,0,0.0,0,No,Yes,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535981,LST0535981,AG00094,LOC0105,Townhouse,2,4.0,2390,9639,2008,383700.0,2026-08-01,Active,,,0,104.48,0,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535982,LST0535982,AG01075,LOC0233,Single Family,5,3.5,1518,3385,1943,673000.0,2026-08-01,Active,,,0,0.0,1,No,Yes,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535983,LST0535983,AG02710,LOC0205,Land,0,0.0,4355,10849,2010,1159600.0,2026-08-01,Active,,,0,0.0,0,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535984,LST0535984,AG00304,LOC0097,Single Family,5,4.0,2343,5262,1995,771600.0,2026-08-01,Active,,,0,0.0,2,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535985,LST0535985,AG00354,LOC0188,Single Family,1,2.5,2911,2972,1996,691400.0,2026-08-01,Active,,,0,0.0,0,No,Yes,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535986,LST0535986,AG02538,LOC0096,Multi-Family,3,2.5,2219,2900,1917,626200.0,2026-08-01,Active,,,0,0.0,1,No,Yes,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535987,LST0535987,AG02807,LOC0170,Condo,2,2.5,2556,7317,2001,1135000.0,2026-08-01,Active,,,0,284.58,2,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535988,LST0535988,AG02607,LOC0049,Single Family,4,3.0,1621,3156,1920,394800.0,2026-08-01,Active,,,0,0.0,0,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535989,LST0535989,AG01103,LOC0033,Condo,3,2.5,1192,14719,1968,336500.0,2026-08-01,Active,,,0,227.53,2,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535990,LST0535990,AG02717,LOC0185,Single Family,4,2.0,3238,4707,1941,1182400.0,2026-08-01,Active,,,0,0.0,3,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535991,LST0535991,AG02273,LOC0068,Single Family,4,2.5,1331,5698,1999,189200.0,2026-08-01,Active,,,0,0.0,1,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535992,LST0535992,AG02850,LOC0016,Condo,3,3.5,2784,6609,1988,927400.0,2026-08-01,Active,,,0,664.24,0,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535993,LST0535993,AG00715,LOC0090,Condo,4,4.0,1390,3818,1921,457200.0,2026-08-01,Active,,,0,419.95,1,Yes,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535994,LST0535994,AG02820,LOC0197,Single Family,2,3.0,1985,2938,1941,737700.0,2026-08-01,Active,,,0,0.0,2,No,Yes,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535995,LST0535995,AG01018,LOC0201,Single Family,4,2.0,1583,12824,2007,400900.0,2026-08-01,Active,,,0,0.0,3,Yes,Yes,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535996,LST0535996,AG00097,LOC0167,Condo,5,4.0,1280,3000,1937,684100.0,2026-08-01,Active,,,0,214.86,3,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535997,LST0535997,AG00602,LOC0168,Townhouse,6,3.5,1020,1057,1940,344800.0,2026-08-01,Active,,,0,74.83,3,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535998,LST0535998,AG00604,LOC0121,Single Family,6,3.5,1598,11910,1917,296300.0,2026-08-01,Active,,,0,0.0,0,No,Yes,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0535999,LST0535999,AG02398,LOC0234,Single Family,6,1.0,1443,1852,1960,544200.0,2026-08-01,Active,,,0,0.0,0,No,Yes,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0536000,LST0536000,AG01460,LOC0135,Townhouse,4,4.0,1221,7446,1952,346500.0,2026-08-01,Active,,,0,572.54,3,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0536001,LST0536001,AG01048,LOC0091,Single Family,1,3.5,708,1654,1932,47900.0,2026-08-01,Active,,,0,0.0,0,No,Yes,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0536002,LST0536002,AG01771,LOC0087,Multi-Family,2,4.0,4049,8259,1924,1062900.0,2026-08-01,Active,,,0,0.0,0,No,Yes,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0536003,LST0536003,AG01600,LOC0094,Single Family,3,2.0,1764,2476,1978,397100.0,2026-08-01,Active,,,0,0.0,2,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0536004,LST0536004,AG01330,LOC0184,Single Family,1,2.5,2409,16756,1988,870800.0,2026-08-01,Active,,,0,0.0,3,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0536005,LST0536005,AG00724,LOC0028,Single Family,3,3.0,2626,4495,1987,270500.0,2026-08-01,Active,,,0,0.0,0,No,Yes,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0536006,LST0536006,AG02430,LOC0013,Single Family,2,2.5,883,4706,2022,122600.0,2026-08-01,Active,,,0,0.0,0,No,No,2026-08-01,2026-08-01
INSERT,2026-08-01T00:00:00,2026-08-01,PT0536007,LST0536007,AG02048,LOC0137,Townhouse,6,4.0,2030,3165,1955,638200.0,2026-08-01,Active,,,0,552.9,2,Yes,No,2026-08-01,2026-08-01
